,subject_id,condition,rep,mean_tonic_uS,mean_phasic_uS,scr_count,mean_scr_amp_uS,scr_peak_rate_per_min,phasic_auc_abs_uS_s
46,67455,NE_empty,0,7.853584645447517,0.0004863394155333456,26,0.02201927161442904,9.538094100788154,1.6428285783263494
47,67455,NE_empty,1,4.265654069611697,9.929740890102033e-06,10,0.037842314990583124,3.2715654952076676,1.5931961896810147
48,69316,ES,0,1.3715958573618876,4.096548300507648e-05,22,0.052331030459983774,5.4772672015560415,4.1445184764941825
49,69316,ES,1,2.8752808367286073,-0.00014230607632483895,14,0.26896271691142254,3.3070357554786622,12.562696188637354
50,69316,ES_empty,0,2.0357299373254203,-9.556480041987953e-05,20,0.06404624406434258,4.705882352941177,4.370038349241531
51,69316,ES_empty,1,2.8028205645313187,4.810703946523594e-05,18,0.2714737178610384,3.4177637678472093,14.930588060488999
52,69316,NE,0,1.6342260006595517,4.9717969299305044e-05,19,0.04881768583185682,4.17600343421335,3.5337135849481567
53,69316,NE,1,2.9127641571577176,-8.229434521809488e-06,21,0.22632244284035888,4.864791493854159,13.38385704006036
54,69316,NE_empty,0,2.5306645849986524,0.00020205912357316438,15,0.18163750379252172,3.2491891129600905,7.938961546495788
55,69316,NE_empty,1,2.633315313633701,-1.485572834185801e-05,14,0.24254147002262041,3.021710110307033,10.037563608634304
56,85418,ES,0,2.5946580458935404,8.806292522393288e-06,9,0.11552626945317611,2.317713136054992,4.225586409020821
57,85418,ES,1,0.6514480217849854,-1.0201073636748149e-05,12,0.0005587733581014344,3.6923076923076925,0.25877651323989787
58,85418,ES_empty,0,2.2316062541791513,-7.933007227427378e-05,6,0.06467244905889558,1.7825918762088975,2.2245852262860737
59,85418,ES_empty,1,0.46203438047993695,-6.237507826381342e-06,148,0.0003835388700721807,46.49309745372738,0.04904551386122901
60,85418,NE,0,2.1472370448242812,-4.049242880128419e-05,6,0.020121619526106062,1.628268551236749,0.7284776704110967
61,85418,NE,1,0.5382053417339316,-4.802331671693383e-06,91,0.0004244532345108191,27.16206762534007,0.05171493231013339
62,85418,NE_empty,0,1.9186277980660744,-0.00010594724911866785,14,0.006811222595854631,4.242675347736016,1.3598595483351001
63,85418,NE_empty,1,1.4559556235242759,-3.6730112394141212e-06,13,0.008194885662319282,4.170861618798956,1.029362486144394
64,9999999,ES,0,2.472486991476423,-0.00010879173716444466,15,0.06240518259456421,4.9330906755165405,3.736141608084715
65,9999999,ES,1,4.851708623852833,-0.0005117553459740038,21,0.15243465512748353,7.590540063536887,9.911369816123482
66,9999999,ES_empty,0,3.1785042755688617,0.00021495847271578835,16,0.007515043723224808,4.24786103189007,2.556955034939894
67,9999999,ES_empty,1,3.80294826993594,0.00042043460432167486,13,0.1546318809799517,4.149194805194805,6.21866986796514
68,9999999,NE,0,2.811299931658491,7.125678501012195e-05,16,0.050987377210197055,5.413812093842934,3.225242209063201
69,9999999,NE,1,4.34401276954428,-0.00010252582368327713,21,0.08543472211171127,6.494714587737843,4.679863783054523
70,9999999,NE_empty,0,4.334914741088393,-1.3869024633528203e-06,22,0.0711479360335512,6.534274388475297,6.467788916044245
71,9999999,NE_empty,1,3.854918091329812,0.0006748741770281789,11,0.32371126162879754,3.3,12.355272606707334
72,11334,ES,0,2.819489441033273,4.1641698151128566e-05,67,0.0009824992876244702,22.08648996673463,0.18694397615636463
73,11334,ES,1,2.7554229619142134,-1.3571721858193177e-05,30,0.0012636681066873947,10.527758738862234,0.17824348515626703
74,11334,ES_empty,0,3.0360192893013154,-1.3953214169352886e-05,10,0.0018941616591458571,3.2795985907974803,0.28550224015253256
75,11334,ES_empty,1,2.169630856997204,-1.0771977838980612e-05,231,0.0006994593883490617,76.57623826481061,0.09075428675752553
76,11334,NE,0,3.0999578117692077,0.00016306998874938595,17,0.00934908770699792,5.368972961858743,1.463138670832989
77,11334,NE,1,3.5751944367936574,-7.017156936657574e-05,7,0.0012180565296443526,2.427636035222398,0.7195287736562545
78,11334,NE_empty,0,3.179725686719113,0.00012210091980029942,17,0.001358717481841676,5.796226415094339,0.4369503036915753
79,11334,NE_empty,1,2.072182335212252,-0.00013476008606546247,4,0.012383533089619918,1.4461574673414146,0.4927826164316556
80,24549,ES,0,4.989211915010341,-4.8960435315288806e-05,15,0.09420704612135009,4.864864864864865,7.886286764441445
81,24549,ES,1,4.178852292950331,-4.196896980199428e-05,12,0.09337530502729689,5.344157726877356,4.091025543104369
82,24549,ES_empty,0,4.478983273325439,-5.0974575256402345e-05,16,0.056666099892745625,5.182623365668494,5.177749252415582
83,24549,ES_empty,1,4.761984350739134,-0.0004288156054099829,13,0.1707381511124736,4.5253257790368275,7.4349477635857255
84,24549,NE,0,4.13641483339783,-0.0004672127799477964,22,0.10598357058788797,11.83815028901734,4.441957918906652
85,24549,NE,1,5.069831696508659,0.0016424695793938232,16,0.14329205821252233,6.540518962075848,6.717860413553365
86,24549,NE_empty,0,4.478324765854208,6.31180024023334e-05,16,0.01912249487031504,5.189189189189189,2.5203021327992015
87,24549,NE_empty,1,4.581759388161503,0.00020338472438229092,15,0.13526312127520468,5.337657824626434,7.19724588051006
88,26880,ES,0,0.6210273331097932,1.3824445830932426e-06,13,0.016059734546266004,4.148763764803657,0.887639773189508
89,26880,ES,1,0.8349010551046827,-8.845721998179353e-06,10,0.023724993314838738,3.571262497093699,1.0582848062501697
90,26880,ES_empty,0,1.1179228914123513,-1.1151831596221164e-05,17,0.02705092320926911,5.992426850258176,1.5778832095386608
91,26880,ES_empty,1,1.590251339676017,0.0001256132087165043,12,0.0935124805562304,3.9784157133606737,5.098013878135339
92,26880,NE,0,0.33282797873839787,9.433133915950758e-06,21,0.012887160494646707,6.996963123644251,0.8550923448563299
93,26880,NE,1,1.1766536109119672,-0.00014976715505662762,12,0.02805218270231896,4.085106382978723,1.4869949364218795
94,26880,NE_empty,0,0.9030287467291686,7.873358005622123e-05,14,0.015764293577205803,4.885052248977738,1.2730748456429843
95,26880,NE_empty,1,1.2850401557600604,-6.250722548166492e-05,10,0.07861117628534796,3.3333333333333335,3.6075242598596318
96,47441,ES,0,0.9746672648265683,-2.2997925919006103e-05,16,0.0021225785120986516,4.48630887185104,0.4530003638256068
97,47441,ES,1,1.5032972646524567,-0.0005706618661123605,12,0.09891991624312729,3.5641496664410712,4.535507763535002
98,47441,ES_empty,0,0.95022107713978,2.7380629793554583e-05,12,0.0029176949137926524,3.3488372093023253,0.4774152073189438
99,47441,ES_empty,1,0.9194376275584772,-4.597012691672047e-06,11,0.0011423123900808471,3.1280199944459874,0.32089907486048186
100,47441,NE,0,1.1332494620737497,7.040947023216429e-05,15,0.006294590544093827,4.433753487924564,0.6280862547091544
101,47441,NE,1,1.0754334283793474,4.277986611016553e-05,15,0.0032387997688506625,4.186046511627906,0.3167619149758353
102,47441,NE_empty,0,0.8288083629346384,-2.0842079267996567e-05,20,0.0015512988422346288,5.55565602676553,0.36939954306717215
103,47441,NE_empty,1,1.116773941618693,-2.3491754980413445e-05,8,0.0035643572055472227,2.4243859129920096,0.20720811006773843
104,57261,ES,0,6.574336332009013,-0.001333628430926055,11,0.30438037992358963,3.3332018149536395,12.49883759060407
105,57261,ES,1,8.252617844025195,-0.002855115256021623,6,0.4278532647242537,3.2195633187772925,6.467477975829001
106,57261,ES_empty,0,4.38929398950682,-7.644104435111823e-05,4,0.06751290409371416,1.148518553135807,1.9525239519796131
107,57261,ES_empty,1,4.726092483385749,0.0017162662767610678,9,0.08200407193947161,2.6341463414634148,3.1833618048758
108,57261,NE,0,5.841528358484304,-0.0020675471205503487,9,0.2820377525408343,2.857379082265399,12.044351892029583
109,57261,NE,1,7.100223838142925,0.0010138659801200644,8,0.40996763290253246,2.5530853937253273,11.842504550337296
110,57261,NE_empty,0,3.832938603171639,0.00014036155199192407,13,0.09917355647805752,3.5606276747503567,5.78347490040461
111,57261,NE_empty,1,6.394635409776924,0.00022926979454188442,6,0.3299373089572702,1.791079584102614,8.15022603524943
112,59688,ES,0,7.240740208546048,-0.0028757854994163963,3,0.009526348608578379,18.0,0.08313445349874421
113,59688,ES,1,7.2099572108443235,0.0015036366633040135,12,0.20775327041756594,3.3647316538882803,7.865827472552342
114,59688,ES_empty,0,7.223552610976015,-0.0002524908075254154,12,0.15338013235720346,3.1309665364362154,5.373979840182013
115,59688,ES_empty,1,8.316646398405048,0.0006743544393314031,12,0.4215357515802782,3.213949433304272,15.414579027151746
116,59688,NE,0,5.475206672305169,0.00010980104240571312,30,0.14204107623622636,7.086505190311419,9.660620886472639
117,59688,NE,1,8.2354552961708,0.0001426205677673756,13,0.1775223139244419,3.451387088410682,6.466812476674001
118,59688,NE_empty,0,7.242428557973515,-0.0110105906013334,1,0.5426258728253182,6.0,1.2192259635420897
119,59688,NE_empty,1,7.906184839952544,-0.0005535172508885084,16,0.16260246370626347,4.343584305408272,5.989617655472932
120,66505,ES,0,1.5216438776228889,-0.0001558433293716295,23,0.01899306667046391,9.101635965477264,1.5584058316685736
121,66505,ES,1,1.37278077435936,-6.741251853393101e-05,22,0.020967025238243016,7.630574686688495,1.433611759538803
122,66505,ES_empty,0,1.5283138746066665,-9.200257603439749e-05,24,0.02613810835742639,8.327083803930426,1.8062123491408926
123,66505,ES_empty,1,1.4617944470510487,6.364615859659162e-05,19,0.026649865269226764,6.70357183875043,1.7845705501612996
124,66505,NE,0,1.5802642424170834,-1.9674986856633204e-05,32,0.020613876693585748,10.90086493679308,1.4196904335366232
125,66505,NE,1,1.5041213981605066,-0.00024004432117797963,24,0.02939074240263455,10.70694162067964,1.6762359181215287
126,66505,NE_empty,0,1.4656562158970976,0.0003975234265980993,30,0.039707005060772745,9.884169884169884,3.1400959235006565
127,66505,NE_empty,1,1.5281739879279044,0.00011331270290193338,26,0.02636075207222023,12.225929894382368,1.478879803234936
128,69905,ES,0,5.829002020917123,-9.937286382188556e-05,16,0.30061699031350586,5.045888512473052,14.008064481940664
129,69905,ES,1,4.354373326131601,-4.338836102470447e-05,21,0.025362313639375328,6.058033618180111,2.8883182227368676
130,69905,ES_empty,0,6.019275107294048,-0.00029021743681537803,25,0.23934741462272835,7.317073170731708,16.365618838260122
131,69905,ES_empty,1,4.856328126102483,-2.4831242495400218e-05,24,0.09014331629124483,6.825402703203111,6.009293713418193
132,69905,NE,0,5.623229992371859,-1.2609820897750477e-05,18,0.18137140186744982,5.143335503674077,9.436612319356119
133,69905,NE,1,6.420534324816723,2.1768398766682877e-06,16,0.3430770169654229,4.682926829268293,17.71511065239314
134,69905,NE_empty,0,5.509468400818088,-0.00017312721312522236,28,0.26948774085157895,7.814663396020714,20.09810141327253
135,69905,NE_empty,1,5.896517675144315,0.0011622765084485995,20,0.1562790747428441,5.882240306366683,9.852258135262629
136,85824,ES,0,1.3938178474890652,-6.4947310071638265e-06,10,0.058848413449476,2.8131868131868134,2.770121517482612
137,85824,ES,1,1.5227160423029908,-9.453741884232049e-05,16,0.030352231696491032,5.217834394904458,2.0680638877217343
138,85824,ES_empty,0,1.4946100049420086,2.075113202954933e-05,17,0.027299739886797,5.204185351270553,1.701834705838856
139,85824,ES_empty,1,1.8165664178663945,0.0001255905546885979,15,0.055623201191108494,5.027823240589198,2.1773892432856563
140,85824,NE,0,1.5480996641587772,-0.0001254614368882237,19,0.05038924923320737,5.352407152682256,3.8787654640325915
141,85824,NE,1,1.642003562542252,1.4237623723233187e-05,11,0.06460194512974575,3.529559222895341,2.8317961734875343
142,85824,NE_empty,0,1.451240297136646,0.0001605518519186354,12,0.051562610350163206,3.4614084507042255,2.0116649857029865
143,85824,NE_empty,1,1.66997856568764,5.537739600177357e-06,13,0.06888102336484409,3.9796711509715994,2.5250990823793984
144,96755,ES,0,1.75022612219656,-0.00015457043535557053,9,0.12326820068370758,2.4325180362484606,5.433653156842673
145,96755,ES,1,1.622579265494418,-0.0005108951876423094,10,0.09775171893142692,2.8433913365420214,3.8709480787329316
146,96755,ES_empty,0,1.7111801720597357,-0.00041686921980077453,11,0.10120871770722152,2.820465737417578,4.738965284289105
147,96755,ES_empty,1,2.773100295629019,-0.0007615046340575253,16,0.417239957258195,4.637856199282884,18.308803644351247
148,96755,NE,0,1.5851020968398777,-0.00028282119970691864,16,0.11192362379723221,4.19314110220099,7.424154686038198
149,96755,NE,1,1.9537448628200969,-0.00014748697067479364,18,0.10678185229146292,4.909090909090909,5.888198024637443
150,96755,NE_empty,0,1.7881177660371586,-7.218334750762144e-05,12,0.08040498019802717,3.2328334648776638,5.688811064968493
151,96755,NE_empty,1,2.218929344692273,-0.00025999035842130786,11,0.23740448796432592,3.098762035763411,7.876708997705336
